KEY,NOTES,ENGLISH
TUTORIAL.2.D,,Your settlers have also brought a bunch of tools with them what will need moving around. From {{ROOMS.STOCKPILES}} also choose {{STOCKPILE.GROUP.TOOLS}} and designate another area to be used to store tools.
TUTORIAL.3.A,,"After some time your settlers should put items they are not using into stockpiles, like the seeds that are to be sown."
TUTORIAL.3.B,,"Left-click on each of the {{ROOMS.FARM.PLURAL}} and select a crop to be planted there. Don’t select {{VEGETABLE.BARLEY}} or {{VEGETABLE.HOPS}} for now, as these crops are used in the production of beer, not food."
TUTORIAL.4.A,,Your {{PROFESSION.FARMER.PLURAL}} will now get to work sowing the seeds you have selected to these {{ROOMS.FARM.PLURAL}}. Sowing seeds does not require any special tools but you might want to assign more settlers as {{PROFESSION.FARMER.PLURAL}}. Left-click on a settler who is wandering around aimlessly.
TUTORIAL.4.B,,"Clicking on a settler lets you see their name, professions, inventory, needs and happiness. Click on the blank square button next to their other professions to set a 3rd and final profession as a {{PROFESSION.FARMER.NOUN}}."
TUTORIAL.4.C,,"Note that some jobs require the settler to have a specific tool in their inventory, and if none are available in the settlement they won’t work on the jobs that require it. For example, you can assign more settlers as a {{PROFESSION.WOODCUTTER}}, but they can’t chop down trees without an available {{TOOL.AXE.NOUN}}."
TUTORIAL.5.A,,"Your crops will now grow and eventually be harvested by your {{PROFESSION.FARMER.PLURAL}} in the {{SEASON.AUTUMN}}. Some crops can be planted again later in the year and survive through the {{SEASON.WINTER}}, but some do not. To get the most out of your crops, it is best to produce soup from the vegetables harvested, or bread from grain."
TUTORIAL.5.B,,"Let’s get a {{ROOMS.KITCHEN}} set up to produce soup once your crops are ready. Go to the top level menu then {{GUI.ZONES_LABEL}} > {{ROOMS.KITCHEN}} and drag out a {{ROOMS.KITCHEN}} area. For now you can build this outside, but you will eventually want to move the majority of your work areas inside for protection from the elements."
TUTORIAL.5.C,,"Unlike farm plots, kitchens (and most other rooms) need furniture to function. Click “Furniture” when you have placed a kitchen zone and you’ll be presented with the furniture that can be added. To produce soup, you need to build a {{FURNITURE.WATER_BARREL}}, {{FURNITURE.KITCHEN_WORKTOP}} and {{FURNITURE.CAULDRON}} in the same kitchen zone. Also, designate a {{STOCKPILE.GROUP.FOOD}} {{ROOMS.STOCKPILE}} to store any harvested crops."
TUTORIAL.6.A,,"When your crops have been harvested, cooks will bring vegetables to the {{FURNITURE.KITCHEN_WORKTOP}} before adding them to the {{FURNITURE.CAULDRON}} with water and producing soup! Making soup and baking bread means your food supplies will go much further - a single vegetable will feed a dwarf for a single meal, but 3 vegetables cooked into soup will provide 12 meals!"
TUTORIAL.6.B,,"Eventually this kitchen will produce a cauldron full of steaming hot soup, but the cooks don’t like other dwarves getting in the way in their kitchen, so instead you need to have the soup brought to a feasting hall for the whole settlement to enjoy. Designate a feasting hall by clicking on {{GUI.ZONES_LABEL}} > {{ROOMS.FEASTING_HALL}}, then add a {{FURNITURE.CAULDRON}} to it. Note that a feasting hall cauldron won’t be placed until a cauldron containing thick, delicious soup is available."
TUTORIAL.7.A,,Over time you will want to expand your food production but this will keep our small settlement nourished for the upcoming winter - your settlers have brought rations to sustain them while the first crops grow.
TUTORIAL.7.B,,"Most items and furniture are produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} or {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}. It’s important to maintain a large supply of these. {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} are produced in a {{ROOMS.SAWMILL}}, and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}} are crafted by a {{PROFESSION.STONEMASON}} in a {{ROOMS.MASONRY_WORKSHOP}}. Place one of each of these zones, and build a {{FURNITURE.WOODCUTTERS_BENCH}} and {{FURNITURE.STONEMASON_WORKBENCH}} in them."
TUTORIAL.8.A,,"Now you are ready to produce {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}, but they require other resources to craft them - {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} and {{RESOURCE.STONE.UNREFINED.PLURAL}}. Fortunately these can usually be harvested from the game world quite easily."
TUTORIAL.8.B,,Select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.CHOP_WOOD}} and click-and-drag over trees to let your woodcutters know to cut them down. Similarly you can select select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.MINE}} and click-and-drag an area of the mountain to designate to be mined. Select enough of both to build your stockpiles back up to 40 of each.
TUTORIAL.8.C,,"Be careful with mining! A mined-out area of 7 by 7 tiles without a {{FURNITURE.PILLAR}} built within that area will collapse! "
TUTORIAL.CAMERA.A,,"You can use the W, A, S and D keys or the arrow keys to pan the camera around. Moving the cursor to the edge of the screen also pans the camera, but this can be disabled in the options menu."
TUTORIAL.CAMERA.B,,Scrolling the mouse wheel or pressing the Q and E keys zooms the camera in or out.
TUTORIAL.CAMERA.C,,"In the lower-right section of the screen is the minimap, and you can click on this to jump the camera to that point. Click on the “Minimap” label to show or hide the minimap."
TUTORIAL.CAMERA.D,,Try out these camera controls and then click “Next” to proceed.
TUTORIAL.FINAL.A,,"This covers the basics of playing King under the Mountain. For your next challenge, aim to set up a functioning {{ROOMS.METALWORKS}} with a {{FURNITURE.FORGE}} provided with fuel and refined metal ore. Refined metal ores are produced at the {{FURNITURE.ORE_CRUSHING_STATION}}, and fuel can be crushed from coal or produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} with a {{FURNITURE.CHARCOAL_CLAMP}} in an {{ROOMS.EARTHWORKS}}. Good luck!"
TUTORIAL.PROGRESS_DESCRIPTION.FARM_PLOT_SELECTIONS,Used to show a progress indicator for how many farm plots have a crop selected e.g. 2 of 10 farm plots with a crop assigned,{{ROOMS.FARM.PLURAL}} with a crop assigned
TUTORIAL.PROGRESS_DESCRIPTION.PROFESSIONS_ASSIGNED,Used to show a progress indicator for how many of a certain profession have been assigned e.g. 2 of 10 farmers assigned,{{professionPlural}} assigned
TUTORIAL.PROGRESS_DESCRIPTION.TEXT,Used to show a progress indicator in the form: 2 of 10 stone blocks,{{currentQuantity}} of {{requiredQuantity}} {{targetDescription}}
TUTORIAL.PROGRESS_DESCRIPTION.TILES,Used to show a progress indicator for a certain number of tiles e.g. 2 of 10 farm plot tiles,{{roomName}} tiles
TUTORIAL.SAVING.A,,"Your progress is saved automatically at midnight, and also whenever you exit the game. You can also quicksave by pressing the F5 key."
TUTORIAL.TIME.A,,"The upper-right section of the screen shows the current date and time, and has controls for the game speed."
TUTORIAL.TIME.B,,You can press the spacebar to pause or unpause the game.
TUTORIAL.TIME.C,,"The 1 key sets the game to run at normal speed, while the 2, 3 and 4 keys make the game run at an increasingly faster pace. The game will automatically jump to speed 4 while all your settlers are asleep."
TUTORIAL.TIME.D,,You can also click the speed icons to change the speed or pause the game.

VEGETABLE.BARLEY,,Barley
VEGETABLE.BARLEY.PLURAL,,Barley
VEGETABLE.BARLEY.TOOLTIP,,"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}."
VEGETABLE.FOR_BEER.USAGE,,"used in the brewing of {{LIQUID.BEER}}"
VEGETABLE.BERSERKER_MUSHROOM,,Berserker mushroom
VEGETABLE.BERSERKER_MUSHROOM.PLURAL,,Berserker mushrooms
VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP,,A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.
VEGETABLE.CARROT,,Carrot
VEGETABLE.CARROT.PLURAL,,Carrots
VEGETABLE.CARROT.TOOLTIP,,"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}."
VEGETABLE.INGREDIENT.USAGE,,"used in the cooking of soup, or can be eaten raw"
VEGETABLE.CORN,,Sweetcorn
VEGETABLE.CORN.PLURAL,,Sweetcorn
VEGETABLE.CORN.TOOLTIP,,"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}."
VEGETABLE.DEATH_CAP_MUSHROOM,,Death cap mushroom
VEGETABLE.DEATH_CAP_MUSHROOM.PLURAL,,Death cap mushrooms
VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP,,"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death."
VEGETABLE.DRAGONFRUIT,,Dragonfruit
VEGETABLE.DRAGONFRUIT.PLURAL,,Dragonfruits
VEGETABLE.ELFSBANE_MUSHROOM,,Elfsbane mushroom
VEGETABLE.ELFSBANE_MUSHROOM.PLURAL,,Elfsbane mushrooms
VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP,,"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack."
VEGETABLE.FIST_MUSHROOM,,Fist mushroom
VEGETABLE.FIST_MUSHROOM.PLURAL,,Fist mushrooms
VEGETABLE.FIST_MUSHROOM.TOOLTIP,,A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.
VEGETABLE.GLOW_MUSHROOM,,Glow mushroom
VEGETABLE.GLOW_MUSHROOM.PLURAL,,Glow mushrooms
VEGETABLE.GLOW_MUSHROOM.TOOLTIP,,A magic-infused mushroom that gives off light and changes colour with the seasons.
VEGETABLE.HEMP,,Hemp
VEGETABLE.HEMP.PLURAL,,Hemp
VEGETABLE.HEMP.TOOLTIP,,This is processed at the {{ROOMS.TEXTILE_WORKSHOP}} to a useful material.
VEGETABLE.HEMP.USAGE,,"a material required to produce {{PRODUCT.LINEN}} in a {{ROOMS.TEXTILE_WORKSHOP}}"
VEGETABLE.HEMP_FIBRE,,Hemp fibre
VEGETABLE.HEMP_FIBRE.PLURAL,,Hemp fibre
VEGETABLE.HOPS,,Hops
VEGETABLE.HOPS.PLURAL,,Hops
VEGETABLE.HOPS.TOOLTIP,,A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.
VEGETABLE.LOQUAT,,Loquat
VEGETABLE.LOQUAT.PLURAL,,Loquats
VEGETABLE.MILTONIA_MUSHROOM,,Miltonia mushroom
VEGETABLE.MILTONIA_MUSHROOM.PLURAL,,Miltonia mushrooms
VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP,,"Once thought to exist only in the Hudds region, it is now found throughout the world."
VEGETABLE.POTATO,,Potato
VEGETABLE.POTATO.PLURAL,,Potatoes
VEGETABLE.POTATO.TOOLTIP,,"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}."
VEGETABLE.PURPLE_HELMET_MUSHROOM,,Purple helmet mushroom
VEGETABLE.PURPLE_HELMET_MUSHROOM.PLURAL,,Purple helmet mushrooms
VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP,,"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus."
VEGETABLE.ROCIOMYCOTA_MUSHROOM,,Rociomycota mushroom
VEGETABLE.ROCIOMYCOTA_MUSHROOM.PLURAL,,Rociomycota mushrooms
VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP,,A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.
VEGETABLE.SUNGLOW_MUSHROOM,,Sunglow mushroom
VEGETABLE.SUNGLOW_MUSHROOM.PLURAL,,Sunglow mushrooms
VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP,,A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.
VEGETABLE.SYRUP_POWDER_MUSHROOM,,Syrup powder mushroom
VEGETABLE.SYRUP_POWDER_MUSHROOM.PLURAL,,Syrup powder mushrooms
VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP,,"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows."
VEGETABLE.TAMARILLO,,Tamarillo
VEGETABLE.TAMARILLO.PLURAL,,Tamarillos
VEGETABLE.THIMBLEBERRY,,Thimbleberry
VEGETABLE.THIMBLEBERRY.PLURAL,,Thimbleberries
VEGETABLE.TOMATO,,Tomato
VEGETABLE.TOMATO.PLURAL,,Tomatoes
VEGETABLE.TOMATO.TOOLTIP,,A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.
VEGETABLE.WHEAT,,Wheat
VEGETABLE.WHEAT.PLURAL,,Wheat
VEGETABLE.WHEAT.USAGE,,used to bake bread
VEGETABLE.WHEAT.TOOLTIP,,"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}."

VITRIOL.GREEN_VITRIOL.ADJECTIVE,,Green
VITRIOL.GREEN_VITRIOL.NOUN,,Green
VITRIOL.GREEN_VITRIOL.TOOLTIP,,"Also known as iron sulfate, this salt has several uses, including as a soil additive to improve crop farming. (Usages of vitriol are not yet implemented in King under the Mountain)"

WALL.DESCRIPTION,"E.g. “Granite rock wall”, “Granite smooth stone wall”",{{materialType.adjective}} {{wallType.noun}}
WALL.GEMS.NOUN,,Gems
WALL.ORE.NOUN,,Ore
WALL.ROUGH_STONE.NOUN,,Rock wall
WALL.STONE_BLOCK.NOUN,,Smooth stone wall
WALL.WOODEN.NOUN,,Wood wall

WEAPON.BATTLE.AXE,,Battle axe
WEAPON.BATTLE.HAMMER,,Battle hammer
WEAPON.BONE.ARROW.HEADS.NOUN,,Bone arrow head
WEAPON.BONE.ARROW.HEADS.PLURAL,,Bone arrow heads
WEAPON.BONE.ARROWS.NOUN,,Arrow
WEAPON.BONE.ARROWS.PLURAL,,Arrows
WEAPON.BOW,,Bow
WEAPON.CROSSBOW,,Crossbow
WEAPON.METAL.ARROW.HEADS.NOUN,,Arrow head
WEAPON.METAL.ARROW.HEADS.PLURAL,,Arrow heads
WEAPON.METAL.ARROWS.NOUN,,Arrow
WEAPON.METAL.ARROWS.PLURAL,,Arrows
WEAPON.METAL.BOLTS.NOUN,,Bolt
WEAPON.METAL.BOLTS.PLURAL,,Bolts
WEAPON.SWORD,,Sword
WEAPON.NONE,Used to select no weapon from the selection list,None
WEAPON.UNARMED,,Unarmed
WEAPON.NO_SHIELD,,Unshielded
WEAPON.NO_ARMOUR,,Unarmoured
WEAPON.WOODEN.SHIELD,,Shield
WEAPON.METAL.SHIELD,,Shield

WEATHER.TYPE.CLOUDY,,Cloudy & grey
WEATHER.TYPE.COLD_WINDS,,Cold winds
WEATHER.TYPE.PERFECT,,Perfect weather
WEATHER.TYPE.RAIN,,Pouring rain
WEATHER.TYPE.SNOW,,Snow flurries
WEATHER.TYPE.THUNDERSTORM,,Thunderstorm

WOOD.ASPEN.ADJECTIVE,,Aspen
WOOD.ASPEN.NOUN,,Aspen
WOOD.BAOBAB.ADJECTIVE,,Baobab
WOOD.BAOBAB.NOUN,,Baobab
WOOD.BARKSHROOM.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom
WOOD.BARKSHROOM.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom
WOOD.BEECH.ADJECTIVE,,Beech
WOOD.BEECH.NOUN,,Beech
WOOD.BIRCH.ADJECTIVE,,Birch
WOOD.BIRCH.NOUN,,Birch
WOOD.EBONY.ADJECTIVE,,Ebony
WOOD.EBONY.NOUN,,Ebony
WOOD.FIR.ADJECTIVE,,Fir
WOOD.FIR.NOUN,,Fir
WOOD.FUNGIWOOD.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood
WOOD.FUNGIWOOD.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood
WOOD.IRONWOOD.ADJECTIVE,,Ironwood
WOOD.IRONWOOD.NOUN,,Ironwood
WOOD.MAPLE.ADJECTIVE,,Maple
WOOD.MAPLE.NOUN,,Maple
WOOD.NUYTSIA.ADJECTIVE,,Nuytsia
WOOD.NUYTSIA.NOUN,,Nuytsia
WOOD.OAK.ADJECTIVE,,Oaken
WOOD.OAK.NOUN,,Oak
WOOD.PECAN.ADJECTIVE,,Pecan
WOOD.PECAN.NOUN,,Pecan
WOOD.PINE.ADJECTIVE,,Pine
WOOD.PINE.NOUN,,Pine
WOOD.RED_CEDAR.ADJECTIVE,,Red cedar
WOOD.RED_CEDAR.NOUN,,Red cedar
WOOD.RED_EMPEROR.ADJECTIVE,,Red emperor
WOOD.RED_EMPEROR.NOUN,,Red emperor
WOOD.ROSEWOOD.ADJECTIVE,,Rosewood
WOOD.ROSEWOOD.NOUN,,Rosewood
WOOD.SPRUCE.ADJECTIVE,,Spruce
WOOD.SPRUCE.NOUN,,Spruce
WOOD.STAR_PINE.ADJECTIVE,,Star pine
WOOD.STAR_PINE.NOUN,,Star pine
WOOD.SYCAMORE.ADJECTIVE,,Sycamore
WOOD.SYCAMORE.NOUN,,Sycamore
